"x","y","id"
-73.83129854,40.61674529,2
-73.91969432,40.76149256,7
-73.92308616,40.77855865,8
-73.78794888,40.75103503,9
-73.79098636,40.67895331,10
-73.78597228,40.78333305,15
-73.77342182,40.76273837,16
-73.72665538,40.73548678,19
-73.90690832,40.55913328,27
-73.80872902,40.71159636,28
-73.82192696,40.60368744,30
-73.73555427,40.69434147,38
-73.8428135,40.78091236,53
-73.85884525,40.74140677,56
-73.85358156,40.75181937,56
-73.73933715,40.76061561,64
-73.8683956,40.7633522,70
-73.80729418,40.75410889,73
-73.87711833,40.73949565,82
-73.89217338,40.73832381,83
-73.7552437,40.60243279,86
-73.8288587,40.76110219,92
-73.84086726,40.74067587,93
-73.84766941,40.72143227,95
-73.87155843,40.69700061,96
-73.77725347,40.73446263,98
-73.71102599,40.74599382,101
-73.87573577,40.70354561,102
-73.78962208,40.59405875,117
-73.80244428,40.72833332,121
-73.761137,40.71063928,122
-73.84491858,40.65824796,124
-73.88531724,40.75731206,129
-73.79397966,40.70436878,130
-73.77610076,40.72065524,131
-73.78653298,40.64698489,132
-73.82871247,40.708051,134
-73.8211959,40.72837768,135
-73.87362864,40.77437571,138
-73.74423435,40.6770978,139
-73.94889146,40.74537943,145
-73.93482889,40.75424252,146
-73.90232968,40.72399507,157
-73.88005141,40.71833677,160
-73.80954582,40.76835163,171
-73.86303754,40.75257924,173
-73.75462174,40.7426721,175
-73.92833319,40.77157024,179
-73.84704317,40.67559499,180
-73.74153177,40.71545452,191
-73.81522936,40.74375148,192
-73.94199706,40.76031363,193
-73.86333856,40.72615564,196
-73.83092407,40.69454235,197
-73.90170927,40.70652679,198
-73.84345281,40.57798249,201
-73.73947256,40.65785342,203
-73.76314612,40.69120145,205
-73.89935256,40.76398559,207
-73.79096393,40.69442755,215
-73.81945964,40.67615404,216
-73.77303566,40.67208971,218
-73.76450579,40.66218488,219
-73.90540773,40.77742692,223
-73.92467307,40.73769896,226
-73.81565681,40.78819302,252
-73.84124394,40.76063075,253
-73.85576676,40.68872136,258
-73.90630644,40.74423472,260
